entrezid	Ensembl_Gene_ID	Gene_Symbol	log2FC	p_value	adj_pvalue
7030	ENSG00000068323	TFE3	0.6380042855	7.25e-17	7.20e-15
388591	ENSG00000158286	RNF207	1.4669614441	9.13e-24	1.35e-21
25840	ENSG00000185432	METTL7A	-0.7584393281	1.33e-17	1.40e-15
8869	ENSG00000115525	ST3GAL5	-0.773362582	2.49e-10	1.46e-08
261729	ENSG00000157214	STEAP2	-0.8210679404	3.15e-16	2.98e-14
NA	ENSG00000272567	RP11-73K9.3	2.9091368904	8.12e-09	3.98e-07
26064	ENSG00000039560	RAI14	0.2386460603	0.0020376264	0.0294805528
83666	ENSG00000138496	PARP9	0.7105625312	3.91e-17	3.94e-15
5547	ENSG00000137509	PRCP	0.3733976516	4.28e-07	1.63e-05
220963	ENSG00000165449	SLC16A9	1.9129485254	2.60e-09	1.37e-07
8013	ENSG00000119508	NR4A3	2.5623582992	2.34e-08	1.08e-06
116496	ENSG00000135842	FAM129A	1.5252436186	1.45e-50	4.79e-48
64231	ENSG00000110077	MS4A6A	-1.8461966802	4.31e-13	3.21e-11
28951	ENSG00000071575	TRIB2	-0.7680150878	4.23e-11	2.68e-09
650	ENSG00000125845	BMP2	0.7198947357	4.95e-23	6.91e-21
9945	ENSG00000131459	GFPT2	0.9799396691	4.34e-34	9.30e-32
84848	ENSG00000223749	MIR503HG	-0.7622227546	2.06e-07	8.18e-06
329	ENSG00000110330	BIRC2	0.9547055389	2.68e-36	6.15e-34
91283	ENSG00000066697	MSANTD3	0.5051725739	4.29e-12	2.90e-10
5507	ENSG00000119938	PPP1R3C	-0.790560028	5.29e-11	3.32e-09
NA	ENSG00000267194	RP1-193H18.2	-1.5145912925	2.28e-14	1.86e-12
80301	ENSG00000241839	PLEKHO2	0.6124896724	2.15e-13	1.65e-11
5771	ENSG00000175354	PTPN2	0.5466696999	2.50e-12	1.74e-10
91543	ENSG00000134321	RSAD2	3.0393073451	1.92e-08	8.98e-07
26157	ENSG00000106560	GIMAP2	0.5431526321	1.76e-08	8.31e-07
64108	ENSG00000136514	RTP4	3.2781934027	3.06e-08	1.39e-06
55707	ENSG00000157191	NECAP2	0.6570089291	2.01e-17	2.09e-15
79132	ENSG00000108771	DHX58	0.7262618335	4.77e-08	2.10e-06
3620	ENSG00000131203	IDO1	3.313005567	2.77e-08	1.27e-06
666	ENSG00000176720	BOK	0.5544233261	1.35e-13	1.06e-11
216	ENSG00000165092	ALDH1A1	-0.6102752384	6.96e-17	6.93e-15
10488	ENSG00000107175	CREB3	0.6136949607	1.14e-13	8.91e-12
11282	ENSG00000161013	MGAT4B	0.3780159601	1.55e-06	5.42e-05
81035	ENSG00000158270	COLEC12	0.5806374288	7.41e-12	4.96e-10
406996	ENSG00000230630	DNM3OS	1.3436576553	9.02e-15	7.54e-13
57161	ENSG00000139946	PELI2	-0.6562976557	9.93e-13	7.19e-11
4982	ENSG00000164761	TNFRSF11B	1.6049742335	5.39e-11	3.37e-09
145864	ENSG00000140511	HAPLN3	0.6176712627	4.24e-11	2.68e-09
4599	ENSG00000157601	MX1	1.385718525	2.58e-18	2.84e-16
NA	ENSG00000187667	WHAMMP3	0.7118853252	2.22e-14	1.82e-12
79628	ENSG00000169247	SH3TC2	-1.3775589214	7.67e-20	9.15e-18
43	ENSG00000087085	ACHE	2.3032903205	1.18e-08	5.70e-07
9914	ENSG00000064270	ATP2C2	5.8492105834	1.04e-07	4.37e-06
23554	ENSG00000106025	TSPAN12	-0.7297859558	2.78e-22	3.70e-20
83862	ENSG00000189077	TMEM120A	0.7993261216	8.08e-14	6.39e-12
9050	ENSG00000152229	PSTPIP2	1.0178085191	4.79e-31	9.22e-29
23531	ENSG00000108960	MMD	0.8727375223	2.04e-26	3.40e-24
10509	ENSG00000185033	SEMA4B	0.5509676379	2.77e-09	1.45e-07
153830	ENSG00000145860	RNF145	0.5526117369	2.84e-14	2.30e-12
7157	ENSG00000141510	TP53	0.5836223107	3.58e-16	3.37e-14
100507392	ENSG00000254703	FLI1-AS1	0.5109589003	1.60e-06	5.58e-05
28984	ENSG00000102760	RGCC	-0.7883086016	6.06e-09	3.06e-07
90411	ENSG00000180398	MCFD2	-0.2240471439	0.0015944601	0.0242546137
11119	ENSG00000026950	BTN3A1	0.7573201629	2.77e-17	2.84e-15
55974	ENSG00000169241	SLC50A1	0.6818822236	7.78e-14	6.17e-12
9413	ENSG00000135063	FAM189A2	1.2036927804	1.39e-08	6.65e-07
400793	ENSG00000239887	C1orf226	-1.1333569002	1.76e-15	1.54e-13
11069	ENSG00000091428	RAPGEF4	0.5614169527	6.54e-08	2.82e-06
5720	ENSG00000092010	PSME1	0.5388297133	6.50e-11	4.00e-09
84875	ENSG00000178685	PARP10	0.7791408566	1.68e-14	1.38e-12
NA	ENSG00000254429	CTD-2562J17.7	1.0213629125	2.00e-12	1.41e-10
7474	ENSG00000114251	WNT5A	1.3463932478	2.28e-09	1.21e-07
10461	ENSG00000153208	MERTK	-0.720050417	1.31e-20	1.61e-18
7699	ENSG00000196387	ZNF140	0.5513939185	5.87e-09	2.97e-07
5101	ENSG00000184226	PCDH9	-1.0236904561	3.30e-13	2.49e-11
NA	ENSG00000260336	RP11-395B7.7	0.7983102781	1.62e-19	1.90e-17
5099	ENSG00000169851	PCDH7	-1.0872968594	1.03e-32	2.08e-30
6621	ENSG00000165684	SNAPC4	0.6706207964	1.48e-15	1.34e-13
26256	ENSG00000154040	CABYR	0.5656205349	3.72e-07	1.44e-05
81688	ENSG00000112308	C6orf62	0.2436457793	0.0003551746	0.0069131429
55080	ENSG00000139192	TAPBPL	0.5667445465	8.57e-06	0.0002565887
597	ENSG00000140379	BCL2A1	1.5438987057	1.47e-10	8.83e-09
80723	ENSG00000168917	SLC35G2	0.4594883214	4.66e-08	2.07e-06
NA	ENSG00000206341	HLA-H	1.4951232335	4.77e-08	2.10e-06
10205	ENSG00000149573	MPZL2	-0.6404164187	3.71e-18	4.03e-16
2701	ENSG00000187513	GJA4	-2.86539531	2.62e-08	1.21e-06
408	ENSG00000137486	ARRB1	0.7105729741	2.41e-18	2.66e-16
NA	ENSG00000266978	CTD-2369P2.5	4.4991281388	2.62e-07	1.03e-05
4690	ENSG00000158092	NCK1	0.4929676011	2.53e-11	1.62e-09
152189	ENSG00000170293	CMTM8	-0.7551132753	4.34e-09	2.24e-07
54453	ENSG00000132669	RIN2	0.6314657161	1.73e-13	1.34e-11
375387	ENSG00000174004	NRROS	-1.4168989681	4.40e-16	4.08e-14
7122	ENSG00000184113	CLDN5	0.5882929437	2.11e-09	1.13e-07
7162	ENSG00000146242	TPBG	0.5897414201	1.05e-06	3.79e-05
6899	ENSG00000184058	TBX1	-0.9743160556	1.50e-20	1.83e-18
NA	ENSG00000180672	AC007362.1	-0.5980995445	5.87e-10	3.35e-08
23	ENSG00000204574	ABCF1	0.5575715625	1.82e-14	1.50e-12
4092	ENSG00000101665	SMAD7	-1.0259283454	1.69e-15	1.49e-13
11245	ENSG00000166073	GPR176	0.8234207605	1.87e-24	2.84e-22
10365	ENSG00000127528	KLF2	-0.8281365096	3.04e-19	3.48e-17
30061	ENSG00000138449	SLC40A1	-0.8416244601	1.39e-29	2.53e-27
2826	ENSG00000184451	CCR10	1.31046161	1.03e-08	4.98e-07
130355	ENSG00000186132	C2orf76	0.6220094427	3.61e-07	1.40e-05
27074	ENSG00000078081	LAMP3	0.756716091	3.08e-13	2.33e-11
3484	ENSG00000146678	IGFBP1	-1.2550237654	7.02e-08	3.00e-06
4940	ENSG00000111331	OAS3	0.8832032615	1.01e-25	1.63e-23
5727	ENSG00000185920	PTCH1	-0.9051958485	9.83e-13	7.14e-11
50848	ENSG00000158769	F11R	0.3962242269	1.71e-07	6.88e-06
8323	ENSG00000164930	FZD6	0.6415524334	3.71e-16	3.47e-14
53358	ENSG00000148082	SHC3	-0.6572950554	1.02e-09	5.65e-08
114134	ENSG00000151229	SLC2A13	-0.7443483158	1.44e-08	6.91e-07
54873	ENSG00000099260	PALMD	-0.7438599303	6.48e-26	1.06e-23
11082	ENSG00000164283	ESM1	0.7065803967	1.76e-21	2.24e-19
2770	ENSG00000127955	GNAI1	-0.7806626425	2.08e-19	2.42e-17
102724550	ENSG00000231574	RP11-91K9.1	3.8701296081	4.92e-06	0.0001556889
220441	ENSG00000176641	RNF152	-0.8784716091	2.14e-18	2.39e-16
2131	ENSG00000182197	EXT1	0.3445274563	6.39e-07	2.38e-05
7424	ENSG00000150630	VEGFC	0.5764852196	9.98e-14	7.88e-12
8503	ENSG00000117461	PIK3R3	-0.5140653296	3.14e-12	2.14e-10
92126	ENSG00000171451	DSEL	1.2011803541	2.12e-30	3.96e-28
23604	ENSG00000035664	DAPK2	1.2018923626	2.16e-07	8.57e-06
114294	ENSG00000103642	LACTB	0.4046585416	6.57e-08	2.82e-06
117854	ENSG00000121236	TRIM6	-0.699619133	1.65e-08	7.84e-07
85446	ENSG00000136367	ZFHX2	1.6076015813	2.07e-09	1.11e-07
NA	ENSG00000268297	CLEC4GP1	-1.1252913024	1.18e-07	4.89e-06
83638	ENSG00000175573	C11orf68	0.5912191878	1.76e-13	1.36e-11
257019	ENSG00000172159	FRMD3	-1.2597953567	2.35e-36	5.48e-34
NA	ENSG00000272463	RP11-532F6.3	1.3558414401	4.66e-09	2.38e-07
10957	ENSG00000146278	PNRC1	0.4886655209	1.38e-08	6.65e-07
123775	ENSG00000166455	C16orf46	1.4377885775	2.10e-08	9.75e-07
5087	ENSG00000185630	PBX1	-0.6296595231	4.96e-12	3.34e-10
10090	ENSG00000111962	UST	1.0196519457	3.18e-06	0.0001043063
3269	ENSG00000196639	HRH1	0.7040960736	4.09e-17	4.11e-15
2014	ENSG00000142227	EMP3	0.4859035727	1.72e-08	8.14e-07
1756	ENSG00000198947	DMD	-0.7954223289	2.14e-12	1.50e-10
4774	ENSG00000162599	NFIA	-0.7360742858	2.78e-19	3.19e-17
57599	ENSG00000114742	WDR48	0.5433413451	3.74e-13	2.80e-11
101410543	ENSG00000230266	XXYLT1-AS2	0.6593612146	2.29e-06	7.79e-05
10826	ENSG00000170271	FAXDC2	-1.0180248292	5.36e-11	3.36e-09
114614	ENSG00000234883	MIR155HG	0.7213951545	3.18e-07	1.24e-05
7130	ENSG00000123610	TNFAIP6	3.8008872307	9.31e-06	0.0002761421
4067	ENSG00000254087	LYN	-0.8014657319	4.18e-23	5.86e-21
121260	ENSG00000139370	SLC15A4	0.5758810831	5.57e-11	3.47e-09
23406	ENSG00000103187	COTL1	0.4407229699	8.64e-10	4.85e-08
NA	ENSG00000261884	CTC-479C5.12	0.9749653545	3.43e-06	0.0001109434
60436	ENSG00000118707	TGIF2	0.4026333356	1.48e-07	6.03e-06
9143	ENSG00000127561	SYNGR3	1.7382292825	8.08e-10	4.55e-08
112574	ENSG00000178996	SNX18	-0.6042565889	2.54e-16	2.42e-14
55531	ENSG00000110675	ELMOD1	-0.7152304058	1.55e-15	1.39e-13
23558	ENSG00000132471	WBP2	0.4697054909	1.83e-09	9.91e-08
10903	ENSG00000014914	MTMR11	0.478487862	4.49e-08	1.99e-06
64332	ENSG00000144802	NFKBIZ	0.7511607733	1.28e-12	9.24e-11
144811	ENSG00000179630	LACC1	1.0052759529	2.22e-19	2.58e-17
7097	ENSG00000137462	TLR2	2.805664356	1.16e-07	4.80e-06
196264	ENSG00000160588	MPZL3	-0.5714057703	2.14e-09	1.14e-07
3142	ENSG00000136630	HLX	0.7728676848	6.21e-06	0.0001911999
59344	ENSG00000179148	ALOXE3	3.2651176359	8.49e-06	0.0002548283
27128	ENSG00000100055	CYTH4	1.5979636001	1.47e-06	5.17e-05
55601	ENSG00000137628	DDX60	0.8207682122	2.53e-19	2.92e-17
9111	ENSG00000123609	NMI	0.411308769	1.69e-07	6.81e-06
54541	ENSG00000168209	DDIT4	-0.6836029519	3.66e-09	1.90e-07
8611	ENSG00000067113	PPAP2A	0.6088787592	8.89e-10	4.96e-08
55366	ENSG00000205213	LGR4	-0.857100825	1.66e-16	1.61e-14
5684	ENSG00000100567	PSMA3	0.2392298003	0.0010358075	0.0171259218
NA	ENSG00000237604	AP001056.1	5.7824605201	1.96e-06	6.72e-05
5055	ENSG00000197632	SERPINB2	0.9291344648	1.31e-22	1.77e-20
79567	ENSG00000039523	FAM65A	0.5929902949	7.74e-16	7.05e-14
85409	ENSG00000145506	NKD2	3.2726650983	2.78e-05	0.0007344645
55048	ENSG00000167987	VPS37C	0.5429117929	2.97e-12	2.03e-10
9289	ENSG00000205336	GPR56	0.5492344663	6.60e-15	5.55e-13
91461	ENSG00000162878	PKDCC	-0.8608606935	1.26e-09	6.96e-08
10068	ENSG00000137496	IL18BP	0.5484419079	5.04e-06	0.0001587632
10129	ENSG00000073910	FRY	-0.4734544147	1.55e-08	7.41e-07
2537	ENSG00000126709	IFI6	0.5622663237	7.37e-06	0.000223489
9079	ENSG00000169744	LDB2	-0.6262990883	1.80e-10	1.06e-08
NA	ENSG00000232259	RP11-4C20.3	-2.8679403253	5.51e-06	0.000171791
157378	ENSG00000164983	TMEM65	-0.5583824521	1.06e-13	8.31e-12
27237	ENSG00000130762	ARHGEF16	1.7668495362	6.07e-09	3.06e-07
2532	ENSG00000213088	DARC	2.7420398906	6.07e-06	0.0001874635
139324	ENSG00000165259	HDX	0.6763321387	8.42e-11	5.13e-09
9957	ENSG00000002587	HS3ST1	-1.5948506892	2.83e-08	1.30e-06
23034	ENSG00000020577	SAMD4A	0.7744248084	1.70e-15	1.49e-13
60489	ENSG00000239713	APOBEC3G	0.6497787743	3.08e-06	0.0001018446
2646	ENSG00000084734	GCKR	0.8830640552	8.16e-09	4.00e-07
5371	ENSG00000140464	PML	0.6570932215	2.82e-17	2.88e-15
8626	ENSG00000073282	TP63	3.3800686749	3.34e-06	0.0001084087
83648	ENSG00000154319	FAM167A	2.8652728984	3.34e-06	0.0001083647
3107	ENSG00000204525	HLA-C	0.8126139482	3.79e-20	4.57e-18
79836	ENSG00000175556	LONRF3	-1.2348540608	8.97e-13	6.53e-11
65264	ENSG00000159202	UBE2Z	0.4923004258	1.80e-12	1.28e-10
57707	ENSG00000140950	TLDC1	0.6745701993	3.76e-17	3.81e-15
389119	ENSG00000185614	FAM212A	-0.8280277929	5.46e-08	2.38e-06
6778	ENSG00000166888	STAT6	0.6451252976	1.97e-19	2.30e-17
391	ENSG00000177105	RHOG	0.3779630309	3.35e-06	0.0001084869
4591	ENSG00000108395	TRIM37	0.6040313356	5.66e-15	4.77e-13
79927	ENSG00000197245	FAM110D	-0.9328450073	1.18e-12	8.52e-11
NA	ENSG00000270069	RP6-99M1.2	0.6295421222	1.18e-07	4.90e-06
1030	ENSG00000147883	CDKN2B	0.7339609358	9.04e-09	4.40e-07
11118	ENSG00000186470	BTN3A2	0.5381918847	4.51e-09	2.30e-07
5155	ENSG00000100311	PDGFB	0.4673128315	6.82e-09	3.38e-07
3776	ENSG00000082482	KCNK2	-2.9495871409	7.59e-06	0.000229608
9788	ENSG00000170873	MTSS1	0.5248682072	2.22e-08	1.03e-06
55847	ENSG00000122873	CISD1	0.5202488798	4.85e-09	2.47e-07
8553	ENSG00000134107	BHLHE40	0.5654850255	1.68e-14	1.38e-12
100506835	ENSG00000226808	LINC00840	-1.9663306942	1.36e-06	4.79e-05
115004	ENSG00000164430	MB21D1	0.6063377583	1.33e-09	7.33e-08
127544	ENSG00000116514	RNF19B	0.3446757042	6.17e-06	0.0001902717
9603	ENSG00000050344	NFE2L3	0.6716229131	6.14e-21	7.66e-19
56834	ENSG00000173264	GPR137	0.5545067492	1.52e-10	9.12e-09
51162	ENSG00000172889	EGFL7	-0.3849839431	1.09e-05	0.0003192389
9322	ENSG00000125733	TRIP10	0.4702516488	1.85e-09	1.00e-07
91526	ENSG00000065413	ANKRD44	-0.8060600153	8.58e-09	4.19e-07
144501	ENSG00000167767	KRT80	-0.9422565741	1.18e-30	2.24e-28
3231	ENSG00000128645	HOXD1	0.8782687765	5.49e-07	2.06e-05
440087	ENSG00000179256	SMCO3	1.4462329353	9.33e-07	3.39e-05
64319	ENSG00000156860	FBRS	0.3669337465	4.53e-07	1.73e-05
10938	ENSG00000110047	EHD1	0.5487236583	1.36e-14	1.13e-12
6387	ENSG00000107562	CXCL12	-1.89446174	3.26e-07	1.26e-05
128866	ENSG00000101421	CHMP4B	0.4435223721	2.84e-09	1.49e-07
4188	ENSG00000112559	MDFI	-0.6150293353	1.98e-14	1.62e-12
283310	ENSG00000165899	OTOGL	-1.4773739799	5.01e-23	6.96e-21
85414	ENSG00000158715	SLC45A3	-0.746517223	5.81e-16	5.32e-14
10865	ENSG00000196843	ARID5A	0.5688817844	3.49e-09	1.82e-07
1827	ENSG00000159200	RCAN1	0.5318346185	1.39e-11	9.06e-10
10550	ENSG00000144746	ARL6IP5	0.2337569185	0.0013993054	0.0219117101
9780	ENSG00000103335	PIEZO1	0.4158467885	9.71e-08	4.08e-06
54810	ENSG00000137960	GIPC2	-0.5814147052	2.39e-09	1.26e-07
7781	ENSG00000115194	SLC30A3	-0.7397847079	5.26e-09	2.67e-07
29	ENSG00000159842	ABR	0.6868113064	1.34e-21	1.72e-19
NA	ENSG00000231632	RP11-82L18.4	-1.8315409069	8.95e-07	3.27e-05
9610	ENSG00000174791	RIN1	-0.7495258893	3.68e-13	2.76e-11
644242	ENSG00000260941	LINC00622	2.8341655519	6.51e-06	0.0001995682
NA	ENSG00000237181	AC147651.4	0.9850518309	1.31e-05	0.0003756957
NA	ENSG00000223387	RP11-408H1.3	2.5560129404	1.01e-05	0.0002961645
2634	ENSG00000162645	GBP2	0.500754274	1.50e-08	7.16e-07
79140	ENSG00000160050	CCDC28B	0.5734140314	3.30e-06	0.0001074312
55544	ENSG00000132819	RBM38	0.4340243674	1.54e-07	6.26e-06
NA	ENSG00000267801	RP11-552F3.9	1.7535701614	7.93e-06	0.0002389412
10308	ENSG00000185947	ZNF267	0.483127191	1.07e-09	5.94e-08
3037	ENSG00000170961	HAS2	0.9965808654	5.75e-06	0.0001787029
57458	ENSG00000057704	TMCC3	-0.5544341464	2.26e-12	1.58e-10
100507050	ENSG00000261594	TPBGL	3.0758856968	4.52e-05	0.0011291639
1946	ENSG00000184349	EFNA5	-0.6602695482	3.96e-16	3.69e-14
629	ENSG00000243649	CFB	2.0815091958	2.98e-05	0.0007781145
23105	ENSG00000053108	FSTL4	-1.4884980978	3.94e-08	1.77e-06
94240	ENSG00000133106	EPSTI1	1.2966867869	1.28e-06	4.54e-05
84957	ENSG00000054967	RELT	0.4284447141	2.77e-05	0.0007328739
254531	ENSG00000176454	LPCAT4	-0.6055910529	1.53e-11	9.95e-10
57569	ENSG00000137727	ARHGAP20	-0.6538343522	5.53e-08	2.40e-06
84168	ENSG00000169604	ANTXR1	-0.6397233436	1.78e-10	1.05e-08
10385	ENSG00000124508	BTN2A2	0.731446895	2.80e-17	2.86e-15
3454	ENSG00000142166	IFNAR1	0.5373891772	5.08e-14	4.07e-12
26047	ENSG00000174469	CNTNAP2	3.3606283923	3.14e-05	0.0008166666
5801	ENSG00000153233	PTPRR	1.4899625971	2.45e-05	0.0006590404
5664	ENSG00000143801	PSEN2	0.478761677	1.58e-06	5.49e-05
57476	ENSG00000023171	GRAMD1B	-1.0002601167	6.69e-07	2.48e-05
4846	ENSG00000164867	NOS3	-0.5660423128	1.77e-14	1.46e-12
136	ENSG00000170425	ADORA2B	-0.4980374207	6.73e-09	3.34e-07
121551	ENSG00000151136	BTBD11	-0.5851956613	7.25e-08	3.09e-06
3566	ENSG00000077238	IL4R	0.5704657204	9.31e-15	7.77e-13
8460	ENSG00000169902	TPST1	0.5022385473	8.99e-12	5.98e-10
115123	ENSG00000173926	03-mars	0.3956280057	6.74e-08	2.89e-06
2879	ENSG00000167468	GPX4	0.2762927723	0.0014378542	0.0223402133
147381	ENSG00000141668	CBLN2	1.4319502729	1.30e-05	0.0003743219
834	ENSG00000137752	CASP1	0.7916201756	1.97e-05	0.0005417636
5271	ENSG00000166401	SERPINB8	0.535321049	2.14e-12	1.50e-10
3099	ENSG00000159399	HK2	-0.6817505296	1.51e-15	1.36e-13
3201	ENSG00000197576	HOXA4	0.5566753422	1.50e-05	0.0004230669
5337	ENSG00000075651	PLD1	0.4772571027	5.80e-08	2.51e-06
28999	ENSG00000163884	KLF15	-1.0125048222	2.40e-07	9.45e-06
171024	ENSG00000172403	SYNPO2	1.5342002008	5.83e-06	0.000180639
51063	ENSG00000138172	CALHM2	-0.5745276084	1.70e-10	1.01e-08
50486	ENSG00000123689	G0S2	0.5420120256	8.05e-05	0.0018736618
7103	ENSG00000127324	TSPAN8	-0.6908668103	1.25e-08	6.02e-07
22822	ENSG00000139289	PHLDA1	0.2955300602	0.0001954556	0.0041070089
9507	ENSG00000158859	ADAMTS4	0.4963926266	1.27e-06	4.54e-05
84696	ENSG00000143994	ABHD1	3.577427641	0.0001435968	0.003152029
9423	ENSG00000065320	NTN1	1.7017903679	1.19e-05	0.0003452792
752	ENSG00000184922	FMNL1	1.2009835598	4.58e-06	0.0001453674
7494	ENSG00000100219	XBP1	0.4326427142	7.38e-09	3.63e-07
441631	ENSG00000110900	TSPAN11	-0.7365448357	1.43e-07	5.86e-06
9636	ENSG00000187608	ISG15	0.4542170376	0.0001112819	0.002494087
392255	ENSG00000156466	GDF6	-0.8690683233	3.75e-15	3.22e-13
54877	ENSG00000141664	ZCCHC2	-0.7294764217	3.24e-18	3.54e-16
3280	ENSG00000114315	HES1	-0.7855261226	2.18e-08	1.01e-06
51006	ENSG00000080189	SLC35C2	0.3616003125	2.20e-05	0.0005998213
2313	ENSG00000151702	FLI1	0.3576612703	4.66e-07	1.77e-05
201475	ENSG00000206418	RAB12	0.2990825079	5.49e-05	0.0013481739
3728	ENSG00000173801	JUP	0.5341480242	1.21e-08	5.86e-07
1004	ENSG00000113361	CDH6	-1.1060552571	1.98e-06	6.75e-05
1901	ENSG00000170989	S1PR1	0.5210848316	8.15e-13	5.96e-11
64423	ENSG00000203485	INF2	0.4294214466	6.21e-09	3.11e-07
127281	ENSG00000157870	FAM213B	0.4125788385	2.80e-07	1.09e-05
55298	ENSG00000137522	RNF121	0.4764206825	1.90e-08	8.91e-07
80139	ENSG00000183779	ZNF703	-0.7652898826	4.54e-18	4.92e-16
375790	ENSG00000188157	AGRN	0.6003819367	2.80e-13	2.13e-11
5083	ENSG00000198807	PAX9	-1.0054029672	1.90e-06	6.53e-05
51149	ENSG00000161010	C5orf45	0.5036328019	1.87e-08	8.78e-07
NA	ENSG00000257443	RP11-150C16.1	2.8353350329	0.0001966302	0.0041262644
158376	ENSG00000235387	LINC00961	-0.5356729447	1.24e-07	5.11e-06
89849	ENSG00000168010	ATG16L2	0.607612127	4.70e-09	2.39e-07
81671	ENSG00000062716	VMP1	0.2904277722	0.0004934615	0.0092282207
NA	ENSG00000250961	CTD-2023N9.1	-1.8476735793	3.59e-06	0.000115072
10645	ENSG00000110931	CAMKK2	0.4551146932	6.87e-10	3.91e-08
4091	ENSG00000137834	SMAD6	-0.6730190951	1.58e-15	1.41e-13
8543	ENSG00000143013	LMO4	-0.4808459241	1.45e-09	7.91e-08
9469	ENSG00000122863	CHST3	-0.6413790551	2.39e-16	2.29e-14
25925	ENSG00000198795	ZNF521	-0.6852887412	1.10e-16	1.08e-14
2977	ENSG00000152402	GUCY1A2	-1.4722252506	1.41e-07	5.78e-06
9781	ENSG00000151692	RNF144A	-0.597837277	7.41e-07	2.73e-05
NA	ENSG00000254912	RP11-632K20.2	1.3994843238	2.97e-06	9.85e-05
5663	ENSG00000080815	PSEN1	0.4140017634	2.07e-08	9.64e-07
79056	ENSG00000135378	PRRG4	1.4656072947	4.62e-05	0.0011491869
4862	ENSG00000170485	NPAS2	-0.5147996795	7.95e-11	4.86e-09
79155	ENSG00000168884	TNIP2	0.4781794472	1.37e-09	7.50e-08
3399	ENSG00000117318	ID3	0.4069713983	7.19e-07	2.66e-05
958	ENSG00000101017	CD40	0.5032927087	2.27e-05	0.0006176798
3775	ENSG00000135750	KCNK1	0.8254673128	4.30e-05	0.001083228
NA	ENSG00000234902	AC007879.2	4.9952138692	7.27e-05	0.00172371
79709	ENSG00000130309	COLGALT1	0.3730140091	2.38e-07	9.37e-06
93663	ENSG00000146376	ARHGAP18	-0.4869633317	2.20e-10	1.29e-08
51278	ENSG00000162783	IER5	0.5564247781	6.47e-11	4.00e-09
NA	ENSG00000260641	RP11-1299A16.3	-0.905345344	1.51e-09	8.23e-08
54936	ENSG00000116863	ADPRHL2	0.4213277814	2.62e-07	1.03e-05
622	ENSG00000161267	BDH1	-0.754976674	2.86e-08	1.31e-06
27106	ENSG00000105643	ARRDC2	0.3970450244	7.30e-05	0.0017274929
126669	ENSG00000169291	SHE	-0.7618661978	1.22e-20	1.50e-18
2683	ENSG00000086062	B4GALT1	0.7832805037	9.78e-27	1.65e-24
29116	ENSG00000007944	MYLIP	-0.5939089833	8.86e-10	4.96e-08
7763	ENSG00000107372	ZFAND5	0.2480088573	0.000879866	0.0149577213
9394	ENSG00000136720	HS6ST1	0.4340602144	7.46e-09	3.67e-07
10906	ENSG00000135148	TRAFD1	0.4393707647	1.95e-09	1.05e-07
840	ENSG00000165806	CASP7	0.4026858771	1.08e-07	4.49e-06
NA	ENSG00000224321	RP11-169K16.6	1.6196721402	7.28e-05	0.00172371
23048	ENSG00000187239	FNBP1	0.5329723372	5.38e-11	3.37e-09
9144	ENSG00000108639	SYNGR2	0.4085862744	9.61e-08	4.04e-06
79722	ENSG00000164512	ANKRD55	0.597444722	1.07e-05	0.0003142518
5360	ENSG00000100979	PLTP	0.3477202732	3.58e-06	0.0001149677
NA	ENSG00000261971	RP11-473M20.7	0.8352541316	2.59e-05	0.000692462
965	ENSG00000116815	CD58	0.4779520855	7.68e-06	0.0002322115
NA	ENSG00000224594	RPL29P19	2.4588428125	7.88e-05	0.0018380784
57189	ENSG00000257093	KIAA1147	0.5101699324	1.39e-07	5.69e-06
57333	ENSG00000142552	RCN3	0.4539380845	1.82e-07	7.28e-06
9108	ENSG00000003987	MTMR7	0.8402124998	6.02e-08	2.60e-06
55622	ENSG00000018699	TTC27	0.4190589151	1.38e-08	6.64e-07
100874206	ENSG00000232490	OSBPL10-AS1	1.9420422263	6.59e-05	0.0015820663
114769	ENSG00000204397	CARD16	0.5383695109	1.85e-06	6.38e-05
135398	ENSG00000197261	C6orf141	-1.0162295921	1.79e-10	1.06e-08
57562	ENSG00000110318	KIAA1377	-0.7256676693	1.36e-14	1.13e-12
8870	ENSG00000137331	IER3	0.4129271249	9.14e-06	0.0002716486
NA	ENSG00000270246	SNORD109A	-1.2556947456	6.68e-07	2.48e-05
55529	ENSG00000155099	TMEM55A	-0.6251092833	4.32e-10	2.48e-08
196883	ENSG00000129467	ADCY4	0.3450153553	0.0005325815	0.0098617062
10981	ENSG00000118508	RAB32	0.3224830687	3.56e-05	0.0009127744
64838	ENSG00000115226	FNDC4	0.349596205	3.87e-05	0.0009883265
5567	ENSG00000142875	PRKACB	-0.4714255204	2.72e-08	1.25e-06
3855	ENSG00000135480	KRT7	-0.3167334059	1.60e-05	0.000450536
100130417	ENSG00000223764	RP11-54O7.3	-1.498787155	1.34e-05	0.000383262
10544	ENSG00000101000	PROCR	-0.2380420971	0.001591625	0.0242230167
5744	ENSG00000087494	PTHLH	0.6041768747	1.08e-05	0.0003153272
4327	ENSG00000123342	MMP19	0.7616875302	2.67e-06	8.93e-05
22898	ENSG00000105339	DENND3	0.4404108067	7.31e-09	3.61e-07
64850	ENSG00000164089	ETNPPL	-2.4416170404	5.27e-05	0.0012981619
3691	ENSG00000132470	ITGB4	-0.6355500017	2.86e-08	1.31e-06
